Simulated Image Name,Row Number,Input x_cen,Input y_cen,Input Flux,Input Separation,Input Positional Angle,Input Contrast,Output x_cen,Output y_cen,Output Flux,Output Separation,Output Positional Angle,Output Contrast,Recovery?
simulated_im_10_index_13,9894,500.35595705745936,1004.9555507996788,219154.49215244295,1.4787949249358383,89.4184875382033,0.8390751305877832,500.2515319515359,1004.1771092728964,16695.265806978747,1.661505204066488,100.78312646897581,0.48354556810392846,No
simulated_im_10_index_6,4621,470.1254488563418,914.9339277628712,202230.13850605118,3.35522065821889,97.97129399015768,1.143468192655407,470.1514609012784,913.918105651415,16582.93299482695,3.4220988370715975,96.93590631656163,1.2029646424527731,Yes
simulated_im_10_index_1,1345,890.2051233446742,555.2195501336876,167898.85345590452,3.543756758232462,30.052501152959806,2.303429950802521,890.214785915499,555.2257684485559,17220.61551739989,3.7034604258638213,27.13191461256766,2.3736008106794175,No
simulated_im_10_index_7,5355,469.6174676258695,494.6777296763806,239916.05417290964,1.280759769706673,86.768234633318,0.5542860457702494,468.5490373730696,494.7241846468136,17230.949281946665,1.7109968104931597,94.64119273005224,0.84964134124673,No
simulated_im_10_index_11,8961,1010.1070773632483,554.5351169595383,156098.64583585184,3.80844896680288,118.21102504111118,3.464272530982036,1010.112860016859,553.5259172768019,17116.95733715187,3.768606075201029,119.55970366051717,3.5388414406319355,Yes
simulated_im_10_index_0,577,859.7233251367295,975.3160134379613,163528.53053513455,4.568185276903872,161.51390301409833,2.6060036466994285,858.7427136861252,974.2920040718477,16628.24840911824,4.385821626677632,161.99524415415084,2.6653930819429683,Yes
simulated_im_10_index_8,6470,800.3650810568147,285.4806126178946,151238.0981379111,0.2467075095891963,36.39265351630048,5.148238278845645,799.3735808981108,285.4753288284604,17207.53442293224,4.792324241811534,22.45603492271698,5.5029076231589364,No
simulated_im_10_index_5,3997,590.3240064281715,555.1223291186662,164983.2737326254,2.8511470491492408,147.04684422093334,2.495655116070122,590.3182027455015,555.1392089186347,17067.433792013573,2.6165187861870307,148.3553966663102,2.646243269495586,No
simulated_im_10_index_4,3046,410.0852556209144,585.4263651971288,150189.1738512877,2.614236807331179,43.103877282789576,6.906333683914464,410.0761116517542,585.4322844375629,17336.728418152306,4.519238509055315,9.141377893750217,4.584091601628554,No
simulated_im_10_index_4,3373,710.4576360380024,195.11337187834718,260719.29847921833,3.9587301864748485,80.38134579802556,0.32847921792406526,710.4797725034992,195.14019127558856,16913.095590521167,3.970565111231161,80.08215556039943,0.3373883649381455,Yes
simulated_im_10_index_7,5500,590.196388044466,765.3413131780281,247809.6348802956,2.370801599472392,118.43855990655663,0.46299307913484883,590.1684015807682,765.3371383076692,16536.77793465175,2.3778265644127266,120.18523003384706,0.5595695989178521,Yes
simulated_im_10_index_10,7986,800.0351892335979,884.8447391415402,176592.2002694397,1.4191646843222365,21.56737446269969,1.87498813176498,800.0674083842273,883.948626190872,16712.219971696875,2.195249450358817,28.537290669470792,2.8762567365049594,No
simulated_im_10_index_5,4385,919.5145390855917,975.1163758241768,172432.68005004743,1.9006230390642365,176.46346814436117,2.059143542661413,918.5260139375828,975.0815605515518,16924.697687943237,1.521041613006603,174.0798021289773,1.7461033031573427,No
simulated_im_10_index_6,4756,589.9764724986579,885.187760758872,230790.27105464827,4.620693590145283,119.24989812484958,0.6703862770163254,588.7573871787047,885.44894061472,16632.85536437191,4.277644798013416,118.68932262652426,0.7354073328118313,No
simulated_im_10_index_6,4895,709.5871382049577,974.8251761394454,170444.20858880138,3.536307702112645,166.44151449485025,2.1595928957973496,708.5719729346065,973.818415801556,16875.335842374654,3.685844255200938,165.08870917158384,2.0836761951943594,Yes
simulated_im_10_index_5,3972,559.6174803871331,824.9362774876486,150242.8064794367,2.7039181171838047,80.2862645545938,6.702021232161561,558.6149640547782,823.9638820659997,16954.199728172865,0.9235676652912266,5.784860753329042,4.023072013686306,No
simulated_im_10_index_0,215,559.6221724944406,315.3576994830936,150717.50575694698,4.610757829473649,31.25008939734158,5.699281924894479,558.6036721376058,315.3437180804884,17355.831086825838,4.567886086868443,157.64215141740766,5.502912487250319,No
simulated_im_10_index_12,9629,949.5657947108753,195.40342017770337,187806.65639796088,2.6050481982220184,104.32683080390707,1.4937973163221205,948.570201191573,195.4147368363264,16881.587020607665,2.5030562130407423,104.56055252462947,1.5255277532312619,Yes
simulated_im_10_index_3,2546,620.3462708251975,885.0568852546323,151881.08954943973,2.2828094901760605,143.34117030037874,4.714107621392922,620.3791752610028,885.053275540672,16799.62358428071,4.94552329235247,51.4602231436823,5.586763205189248,No
simulated_im_10_index_7,5584,680.3404491166988,224.6103612839557,165338.63204943668,3.699225948313943,56.599570930647644,2.47032206834653,680.3466682615297,223.6130479159465,17196.82577357003,3.5060909122865187,50.408798426569206,2.5063016259235007,No
simulated_im_10_index_0,72,439.7806828932764,105.36057591650382,150549.20919438294,1.9861892961014775,36.774310696461214,5.960375483117316,438.7819126481673,105.35503604742098,16825.642073813797,2.422427442203455,97.64879736694326,7.975734650576221,No
simulated_im_10_index_6,4934,769.6506726658017,105.34816209936082,150519.18810848944,3.545313453384175,53.33303222287836,6.0143466084584025,768.6503731493477,105.3263988573359,17043.868852988217,2.411053474987749,51.89536444196529,4.5575372811930395,No
simulated_im_10_index_0,474,770.4969312113885,945.1922444263521,151334.59145992732,3.9751849930068173,86.7333474116619,5.0709560192771,769.4710759899327,945.1828595553679,16974.31694631925,4.929296956264515,104.04844992731137,4.929567498744726,No
simulated_im_10_index_0,580,890.1081632573436,44.74237074019575,205599.10447527404,3.212036785000138,91.0063303228247,1.0756895258615886,890.349015113984,43.52378769446892,16821.205404687647,3.442086395318845,95.236470121972,1.0244382770971185,No
simulated_im_10_index_12,9468,800.4523961866422,464.5002467914716,228631.95590206128,1.9081495310422325,32.3066117989956,0.6997604968709936,799.4598940979542,463.51499877332526,17178.877219778824,1.9142359314699053,32.109968194607106,0.7453113819524135,Yes
simulated_im_10_index_10,7890,739.9037949340143,45.233201082434164,211130.17891500954,2.017891316023789,49.84809106859877,0.9728431361760727,738.8647017628751,45.20380796838925,16725.270016579878,1.9803282379591582,59.925832709337016,0.8170329961101832,No
simulated_im_10_index_8,6399,739.9278276442793,194.9297346475402,151318.66056306957,1.5383167384038416,22.565615172551844,5.083342070177107,738.9249001426787,193.90961587256916,17103.169906961026,3.982416379130887,164.297147023095,5.291157516577821,No
simulated_im_10_index_11,8391,500.20360363183346,795.4410340547855,161886.09527368785,3.1523144841694246,43.98703434834118,2.74576172332198,500.2155510323724,795.4532466906702,17094.960974747766,3.163058595651958,31.05337609095247,2.8729289546928416,No
simulated_im_10_index_13,9888,500.3178523990399,825.258329070853,164873.11148692714,3.4242912251543074,175.97315232510135,2.5036299968357767,500.3083232212989,825.2640130461775,17043.674696796512,3.1310821934982638,178.8232482278089,2.519739478632896,No
simulated_im_10_index_9,7347,920.3753706618654,75.33877691585279,150273.05235619805,0.6223038408292347,168.9856162053313,6.601766513782041,920.3569221494081,75.3102456897611,16842.723000309943,1.3878933003441951,54.594997780746596,3.770700576421559,No
simulated_im_10_index_10,7968,799.8544360681378,345.1324016845231,281418.12066179444,3.9103430472561134,15.153479231508706,0.1425072367224908,798.8663449484635,345.1163788528356,17002.62085171419,3.883219303102195,15.187028332946603,0.11985350267720804,Yes
simulated_im_10_index_2,1567,439.5953660134321,74.52256877872503,155034.74467360546,4.381173800730545,30.799317405903054,3.6698172193585767,439.6104982096229,73.51745006305,16921.91718875708,4.463703223152388,32.31652618778114,3.722618692914503,Yes
simulated_im_10_index_8,6061,440.14747924594843,255.4522407171964,151884.41637939733,2.5679588391388624,150.14176808744483,4.712257760807225,440.17254116693476,255.43582501335044,16996.516696724193,4.688654962735869,9.582048578641576,4.986376466683513,No
simulated_im_10_index_7,5524,619.6294216814811,465.43712709172684,150413.32421277472,3.6778449001236186,79.91395375319648,6.229441935216364,618.6327731550489,465.4294686973899,17015.800690359993,4.597812378382344,87.0966250262548,5.879028841843862,No
simulated_im_10_index_2,1632,470.14697095518335,1005.1753939744631,151048.42250539214,1.4000560219027314,160.26320944494233,5.318344150713735,470.1254180470462,1005.1875890002659,17031.19884878208,3.3848635262515687,174.91636254390647,6.268844455931642,No
simulated_im_10_index_8,6555,860.3770126687907,795.4420942292836,150483.78875255174,3.632912616669147,136.1054477721134,6.081637782180152,860.3858967737737,795.4328799825217,16816.000417804513,4.691208337392864,158.96833204463888,6.062843312894289,No
simulated_im_10_index_0,296,620.2196831275861,704.8310487518823,150537.39251914073,3.4592718669661786,4.843487496919437,5.9813001755070445,620.0103757296241,704.0983483960056,17040.266412180597,0.46676309051229947,66.18297669793904,2.7467037456900476,No
simulated_im_10_index_12,9211,559.7958201613969,915.1521310329471,154614.02467520643,0.6160667017403654,70.6629276288077,3.763207031957493,558.7722961767895,915.145851251691,17224.270950364204,4.464309639509923,154.35210148708447,4.375965875738022,No
simulated_im_10_index_6,4942,770.3755397052871,345.0571113499157,150287.96228239944,0.20000480603488136,61.18524417634842,6.555555813344406,770.3731903717253,345.0606123376585,17018.15248620202,4.5892517627087575,12.240933889239736,7.1968425706641295,No
simulated_im_10_index_1,907,500.08605208112766,674.697198971543,150372.47421516437,0.29683222563438916,177.61188238318823,6.325347570064323,500.0328018625998,673.6811523928873,17148.74058720859,0.6671519997966524,57.2778111111804,2.739420753283972,No
simulated_im_10_index_13,9956,559.6283029785287,825.4169602556472,157053.4815445203,1.0258320248363229,71.30085326348419,3.308013045940083,558.576907560954,825.4370603655894,17046.381546260593,1.2104764780845636,138.06891765812037,3.3706785493316644,No
simulated_im_10_index_3,2782,829.7777066588168,824.8367883914354,150370.3975744455,4.894996939315107,19.119763091200262,6.3304568207809355,828.7700505168182,823.8284953025336,16962.563162417224,3.7510941378394556,50.95193051115998,5.227767225286583,No
simulated_im_10_index_2,2080,890.3106845845163,165.41997785407247,150915.42911132018,4.66520213714606,61.20431243906742,5.455813851257168,890.3206298664876,165.42433140943763,17133.1431325292,3.029566505526766,136.0781665646067,4.608045636114406,No
simulated_im_10_index_2,1834,649.6671922299162,945.0735045976619,193604.86380022153,2.912965582864127,58.37268159617381,1.3391469684290822,648.6468409761725,945.0789793965151,16847.825713668855,2.938505672976764,57.816302938856786,1.3817092487665155,Yes
simulated_im_10_index_1,1229,799.7918662332407,134.83144166745126,151609.33435157273,2.972291468264406,70.6299473024898,4.876970363175549,798.982890955738,133.5781342687729,16847.78128439659,1.0355012616401047,98.29847551096047,3.2665740923539275,No
simulated_im_10_index_11,8663,739.9706664461642,794.5002992108892,240463.6876095249,1.5853636974273566,131.76029115184534,0.5476985313679145,739.2413109237563,794.3404928360227,16936.521100110975,0.9787078844380369,130.02008379557287,0.11580670303482249,No
simulated_im_10_index_8,6285,620.1685510563881,854.6968105679522,152962.5600571396,3.535431271898102,43.80747616068831,4.2352491933542025,620.1882200249388,853.7004097938334,16756.60324849952,2.1482311735780097,68.777499830256,3.730029025617595,No
simulated_im_10_index_3,2898,949.6542821987051,224.6392152316121,204737.15099593834,2.4240181737236197,78.65311418537175,1.092632089099547,948.6108109763244,224.6398546748629,16864.8295901399,2.3988163138889944,78.16984073978671,1.211873204293392,Yes
simulated_im_10_index_11,8463,559.8016193447835,915.3846395322137,150121.1476482119,1.1337468474399675,87.87015616889863,7.2370990301225255,558.7884741866005,915.3922626375597,17173.802184957305,4.381515835590562,158.45555369978112,4.458944609152919,No
simulated_im_10_index_5,4330,889.6012299823656,344.77212299276323,150193.07211514338,3.469000453897315,75.46340390207351,6.890115863951176,888.5896125610026,343.78603848028683,17045.795081995817,2.703237322667592,139.99900651416252,7.3624801317809725,No
simulated_im_10_index_7,5973,1010.2062706567871,674.706232050321,157038.16816882993,1.4573867751638103,161.3181841382231,3.3103496157314978,1010.4054646669164,673.5668904157895,16929.292593858605,0.7836109521453085,152.12971948759022,2.05350305794685,No
simulated_im_10_index_10,7852,679.7828979454619,944.592886084172,178229.87952861536,1.7285385503258577,154.43675058472115,1.8102662990948308,678.7713949892994,944.5857830874368,16584.53636143045,1.8796747992273481,153.61383259689387,1.7622486668512534,Yes
simulated_im_10_index_5,4434,980.3789864139684,404.73296868739055,150316.365610179,4.857901816509566,128.47613647646807,6.472621457878815,979.3814827308029,403.74118601031984,16892.21006695367,0.29210946080212175,149.8410755382974,2.8452885404846144,No
simulated_im_10_index_7,5750,830.367509546212,104.93208579046046,153822.4889237412,0.43092745891175455,162.44911148302634,3.9641931326369617,830.3507703563204,103.86954936001445,17017.4300579687,1.4041596549620576,7.020737913971413,2.9715282399233587,No
simulated_im_10_index_10,7637,500.2140594854323,615.1912173365541,150096.60260082016,2.5149978125594763,85.61640920696374,7.386434757871552,500.23010094233416,615.2060974532509,17320.857759149054,1.311885193820311,70.87361791597914,3.8046162152927474,No
simulated_im_10_index_0,412,739.8389419818261,104.62629428024381,150161.1185406023,2.682114581927224,147.8954184845683,7.030796226196862,738.8328319097965,103.62833656357846,17026.97661018131,0.14108085690468977,140.62881537350466,4.690639765810988,No
simulated_im_10_index_12,9576,890.2388618784117,644.9638380202524,150162.77546922877,0.03535555197187179,134.77517853340248,7.023035460256398,890.2107364208146,643.9804193410782,17046.368730597624,2.772217611626187,105.70401267725089,5.126857862193388,No
simulated_im_10_index_10,7584,469.83905774571673,44.85622868704236,151638.44689439808,4.389587840354377,63.499612358363024,4.8583080340131675,468.76679978243254,43.838995298162324,16596.37330905989,0.8745372866014625,69.78935631793108,2.572092416305201,No
simulated_im_10_index_12,9065,440.36168135825847,614.5294529580796,150212.8388586631,4.434343738325926,37.33522089310651,6.811414633416645,440.32909368027026,613.541507384034,17224.614025184514,4.593828412652742,28.53509912823759,4.935572492517894,No
simulated_im_10_index_9,7207,770.4847811977023,974.5669207922427,234183.71937928238,4.746585917475809,16.41991941581321,0.625751478275134,770.2556427348849,973.8287835748441,16592.97971843313,4.465315978219982,24.148565991273585,0.6412123517806825,No
simulated_im_10_index_12,9394,740.427754270164,285.0396643339578,153543.3443896038,4.499821022222713,121.74911602039901,4.044991235702557,740.423742801353,285.030351120989,17278.848628338215,4.669981715826326,125.36545754031805,3.8697972829385767,No
simulated_im_10_index_7,5286,410.48408491706635,465.488149683768,153465.53016225886,2.090643164285391,60.53554440754658,4.068629190027358,410.3991403069081,465.42367270720166,17131.53020855781,1.147230765485409,30.474220737509153,2.6792849673776953,No
simulated_im_10_index_6,4801,649.6624553039939,195.19303515444628,150576.88011422154,1.465680573842079,75.17684572860307,5.91289892255143,648.6630094272737,195.21445478094978,17374.580787953197,4.635965203844852,35.67262919877047,4.749426319019719,No
simulated_im_10_index_9,7289,859.5400583191903,375.43952013543935,182954.12368456105,3.713612994681153,137.91284578771084,1.6426487387610587,858.5248384125451,375.4130857125369,17116.590760240844,3.651745444551159,136.2140743740066,1.702670478854165,Yes
simulated_im_10_index_11,8470,589.7838151542209,105.42172491776678,151006.74875526986,3.5796358172361304,8.306264155737662,5.3595782329018125,588.7811471062262,105.42599849956534,17287.84625964303,3.6966556399000403,33.067907848868145,4.388395280970321,No
simulated_im_10_index_6,4838,680.4331370536116,285.2851326752957,151747.50263876433,4.730763224672224,84.91533597377455,4.791118755206025,680.4513938081966,285.2992361224901,17229.91165029281,4.218794540990979,69.36525960734849,4.686065954453953,No
simulated_im_10_index_2,1730,560.1604951777512,884.7868679191621,150139.9494947082,2.81709795935597,119.33502774255118,7.135162760524644,560.137713275415,883.8071325751374,17116.075718448716,2.322228985264003,105.96283040262321,4.692113911684794,No
simulated_im_10_index_0,489,800.2175358182815,375.3682072882317,150159.56124757568,0.2146503761621238,92.47903119665824,7.03814123591607,800.2269311537733,374.37403715178266,17461.231125187755,3.98184290175524,167.51933942282307,4.544624821961214,No
simulated_im_10_index_0,119,469.58149936561244,495.3596216873249,153552.10758461294,4.3283833945602055,18.866321377852103,4.042361160171225,468.5792295504732,495.35887007960906,17211.545882481492,4.454208052627683,22.1443418304348,3.7267652767202115,No
simulated_im_10_index_11,8305,439.69953881353837,254.53222312761872,158081.0519297687,1.4482282289959125,24.494143930791317,3.161706952510225,438.5428335119736,253.99453896708582,17069.10718390871,0.760311126497899,44.149373510309914,1.2898467298822598,No
simulated_im_10_index_1,1287,829.9821926954254,855.1058063089303,172137.00423613607,0.5365112421650647,70.41782673637,2.0735043077099635,828.8322697596107,855.4190454647858,17101.163009797972,0.8905161469935802,60.15765440861918,2.6788523324655404,No
simulated_im_10_index_4,3715,1009.8046916849559,254.76284666385303,158014.06032830657,3.1190444787823965,149.38366180229588,3.1706673931723657,1008.8159179725029,253.7533806077081,16525.159761214272,3.6781742149837156,148.77420593654585,3.722624975284638,No
simulated_im_10_index_7,5486,590.4699137043816,344.7312451622505,150212.8510510351,3.608105536697041,49.03955410579669,6.811367808171126,590.4719837573326,343.7273884889982,17415.687168755194,3.1831908635182025,20.02264788829075,4.629759023058877,No
simulated_im_10_index_0,714,979.6632215791675,1005.0862921027351,152425.31174288734,1.5952641411249795,178.2882101726221,4.446971534006405,978.626112489437,1005.10012295638,16657.92492159602,0.6655442466337287,28.01434743547721,7.649890247097421,No
