Simulated Image Name,Row Number,Input x_cen,Input y_cen,Input Flux,Input Separation,Input Positional Angle,Input Contrast,Output x_cen,Output y_cen,Output Flux,Output Separation,Output Positional Angle,Output Contrast,Recovery?
simulated_im_10_index_13,9894,499.78804388953637,1004.65449380579,165584.27791051212,3.900822689365656,101.13131190735163,2.453149525264979,498.77299386160365,1003.6481403711168,16665.465633395397,3.9912950808101044,101.4180029385065,2.5303768164969718,Yes
simulated_im_10_index_1,1345,889.5591082787284,554.9636041009569,169679.88456563037,2.7396860974959294,110.16726997232905,2.2008186976237045,888.5749174942847,553.9340947013936,16789.563526031754,2.7380440359283913,114.99182013472205,2.1846539097255118,No
simulated_im_10_index_7,5355,470.3649077866207,495.42724647403264,197777.17036902852,1.8702598061674391,67.04935157990892,1.2400849139755654,470.3665227742191,495.4365238302129,17038.57931689221,1.8446870166486187,66.68813610680834,1.2555595176719305,Yes
simulated_im_10_index_11,8961,1010.0418589464947,555.2281133214626,237682.0426083144,1.90583264913657,39.632926865676325,0.5815810248872966,1010.0138097829798,555.2115764471757,17107.815417755588,1.9698022339333985,30.31603340616789,0.634040500601523,No
simulated_im_10_index_0,577,859.7718483668567,975.3573949618915,183282.4663269646,3.377008933192349,81.7594142143513,1.6319070627360115,858.7575211202221,975.3478577947612,16986.100993474127,3.39648171762748,80.82458419721883,1.6194124829912167,Yes
simulated_im_10_index_8,6470,800.4334928645075,284.5513635259119,157797.72475191977,3.06391330870136,108.38776121671714,3.2001188821919504,800.432946091053,283.5405955644214,17219.466597283907,3.1588995265382875,103.26923929524514,3.1608118345470193,No
simulated_im_10_index_5,3997,590.3383832373311,555.1625330745791,176914.43437859588,4.877234224927168,36.25516176833391,1.8619447308896004,590.331304566354,555.1576661280945,16933.4572936734,4.619401617585519,35.102636567336454,1.8540370196161533,No
simulated_im_10_index_4,3046,409.86081574693316,584.8160503772962,186988.7802626817,4.609090601768081,173.98451827459488,1.5174986882541617,408.8824252416181,583.8046442746343,16996.650181116358,4.6110854587443795,174.34966812125714,1.5558303627586325,Yes
simulated_im_10_index_4,3373,710.2049643350783,195.33927226778354,185371.5126263245,4.146591237067973,62.61064024661266,1.5659460561189027,710.1932478705326,195.31944353176684,17007.255300864024,4.149484559315176,62.55183893415483,1.5211004286082261,Yes
simulated_im_10_index_7,5500,589.6085606643162,765.2616886776289,168017.081840851,4.743366401451674,35.95442146234012,2.2963095531045354,588.3685744126913,765.4994865113576,16974.7789579645,4.694122530959389,44.07264393146667,2.295875941059575,No
